Instance,30,,,40,,,50,,,60,,,70,,,80,,,90,,
,DivSampCA,LS-sampling-plus,SamplingCA,DivSampCA,LS-sampling-plus,SamplingCA,DivSampCA,LS-sampling-plus,SamplingCA,DivSampCA,LS-sampling-plus,SamplingCA,DivSampCA,LS-sampling-plus,SamplingCA,DivSampCA,LS-sampling-plus,SamplingCA,DivSampCA,LS-sampling-plus,SamplingCA
cerf.cnf,3009441.5,3007812.9,3005096.6,3018156.1,3016770.9,3016584.8,3021416.2,3020788.8,3020455,3022801.5,3022458.5,3022352.1,3023371.8,3023164.2,3023085.5,3023613.6,3023504.6,3023512.6,3023708.4,3023660,3023640.5
cerfpda.cnf,3081946.1,3080023.5,3078487.1,3091095.4,3089928.7,3089309.6,3094557.4,3093991.2,3093655.9,3095974.2,3095618.1,3095445.9,3096567.4,3096357.2,3096308.8,3096821.6,3096713.9,3096710.7,3096924.1,3096883.5,3096857
cma230.cnf,2707186.1,2706158,2705302.7,2714122.2,2713547.3,2713022.2,2716571.5,2716160.5,2716081.2,2717504.9,2717306.9,2717236.5,2717855.5,2717759.8,2717730.4,2717986.7,2717934.1,2717919.9,2718028.6,2718006.1,2718005.8
cma28x.cnf,2683928.2,2682789.1,2681258.3,2690641.3,2689840.8,2689645.3,2693038.8,2692663.7,2692453.5,2693931.5,2693745.8,2693675.5,2694266.6,2694156.1,2694143.7,2694391.5,2694339,2694334.2,2694429.2,2694414.1,2694408.1
cme555.cnf,2975262.6,2974072.1,2972974.2,2982842.8,2982125.1,2981310.4,2985479.5,2985000.1,2984842.1,2986500.3,2986245.4,2986148.9,2986881.4,2986772,2986750.2,2987020.3,2986956.1,2986964.7,2987062.5,2987045.1,2987037.8
cq7708.cnf,2819031.4,2817291.5,2816228.1,2827619.3,2826835.2,2826246.8,2831028.3,2830394.5,2830196.5,2832544.3,2832140.6,2832020.1,2833278.3,2833046.7,2832961.2,2833589.5,2833465.8,2833425.1,2833731.6,2833667.8,2833646.9
cq7750.cnf,2933076.8,2931465.3,2930256.7,2940668,2939992.1,2939505.4,2943482.3,2943074.7,2942795.4,2944628.1,2944339.8,2944186.4,2945076.4,2944942.1,2944902.8,2945243.9,2945176.2,2945149.3,2945307.7,2945272.8,2945270.3
csb281.cnf,2859400.7,2857122.5,2856086.8,2867958.2,2867161.4,2866264.3,2871178.6,2870620.3,2870377.8,2872508.3,2872168,2872067.8,2873073.5,2872882.8,2872821.6,2873330.3,2873241,2873209.2,2873438.2,2873400,2873387.6
dreamcast.cnf,2893263.3,2891910.2,2890806.5,2902107.1,2901380.8,2900638.6,2905513.8,2905003.3,2904722.4,2906949.8,2906698.1,2906515.5,2907593.6,2907433.6,2907334.5,2907871.6,2907789,2907752.2,2907986.8,2907936.7,2907927.4
e7t.cnf,2984542.1,2982541.9,2980859.1,2993291.8,2992165.7,2991579.4,2996488.6,2995867.7,2995590.2,2997754.6,2997408,2997299,2998273.5,2998072.8,2998059.8,2998473.7,2998375,2998348.9,2998552.6,2998516.8,2998497.5
