,"λ = 100, η = 50",,"λ = 100, η = 100",,"λ = 100, η = 150",,"λ = 100, η = 200",,"λ = 150, η = 50",,"λ = 150, η = 100",,"λ = 150, η = 150",,"λ = 150, η = 200",,"λ = 200, η = 50",,"λ = 200, η = 100",,"λ = 200, η = 150",,"λ = 200, η = 200",,"λ = 250, η = 50",,"λ = 250, η = 100",,"λ = 250, η = 150",,"λ = 250, η = 200",
Instance,avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s)
cma230,61.667,12.614,68,2.281,68.667,1.944,68,2.168,62,13.836,69,2.436,66,2.389,65.667,2.429,60,12.794,68.667,2.771,69.333,2.772,68.333,2.878,61.667,15.831,67.333,3.372,70,3.173,68,3.309
cma28x,60.333,12.009,69.333,1.887,70,1.943,68,2.06,62,13.552,67.333,2.44,68.667,2.358,69,2.425,61.333,16.905,68.333,2.771,66.667,2.777,68,2.921,60,18.325,69.667,3.06,68,3.076,69,3.28
cme555,62,15.14,68.667,2.344,70.333,2.244,69.333,2.372,61,18.506,71,2.708,71.333,2.665,67.333,2.826,62,12.553,71.333,3.215,69.667,3.176,69.333,3.3,61,15.406,69,3.737,70.333,3.584,69.333,3.639
cq7708,78.333,17.271,83,2.744,84.667,2.606,85,3.016,75,18.957,83.333,3.012,83.667,3.156,82.667,3.366,77.333,14.291,84.667,3.392,84.333,3.518,82,3.782,75,19.505,84,3.983,82.667,4.007,83,4.145
cq7750,63.667,17.148,73,2.585,75,2.249,72.667,2.44,64,17.178,71.667,2.66,74,2.649,70,2.841,64.333,17.178,71.333,3.13,71.333,3.174,71.667,3.389,62.333,16.328,69.333,3.824,70.667,3.671,71.667,3.657
csb281,69,27.999,75.667,2.74,79,2.451,74,2.791,69.667,15.451,77,3.014,76.667,2.899,77,3.08,69,20.982,76.333,3.236,76.667,3.312,75.667,3.529,67.333,21.034,75.667,3.767,76.667,3.863,75.333,3.853
dreamcast,68.333,22.588,78.667,2.209,79,2.422,76.667,2.751,68.667,15.562,80,2.821,79,2.884,77.333,3.208,68.333,18.996,76.667,3.389,78,3.317,76.667,3.454,70.667,15.22,75.667,3.846,75.667,3.732,76,3.976
e7t,67,16.057,75.333,2.266,75.333,2.432,74.667,2.614,68,25.854,75.333,3.163,76,3.017,74.667,3.171,66,18.758,73,3.553,75,3.398,74.333,3.604,67,22.766,74,3.971,74.333,3.978,75,4.031
ea2468,67,28.882,74.667,2.319,74.667,2.481,73.333,2.659,66,21.515,74.333,3.154,77,2.918,72.667,3.023,64.333,18.135,74.333,3.292,73.333,3.44,73.667,3.688,65.333,19.881,72.667,3.962,74,3.888,74.667,4.063
eb40,64.333,15.449,70,2.31,68.667,2.109,68.333,2.325,62.667,15.579,71.333,2.492,69.667,2.507,69.333,2.669,63.667,18.771,69,2.875,69,2.917,69.667,3.044,63.333,11.682,69.333,3.418,68.333,3.249,69,3.473
eb40a,62,15.829,68.667,2.068,71.333,2.101,69.667,2.38,62.333,17.073,71,2.528,70,2.483,68.667,2.74,63.333,15.666,69,3.035,71,2.948,69,3.136,62,18.265,68.333,3.439,70.333,3.343,70.333,3.593
eb42,62.333,18.28,68.333,2.149,68.333,2.044,70.667,2.353,62.333,17.28,69,2.478,70,2.453,69,2.645,59.333,13.386,69,3.017,70.333,2.874,69.333,3.039,62.667,16.263,66,3.327,68.333,3.35,67,3.389
eb55,62,18.935,71.333,2.214,70.667,2.144,71,2.384,63.333,15.791,71,2.632,68.667,2.607,69,2.755,61,13.678,71.333,3.12,69.667,3.042,68.667,3.181,61.667,14.701,69,3.569,70.333,3.472,68.333,3.653
ebsa285,70.667,16.535,78.333,2.421,78.333,2.577,79,2.839,69.667,28.901,76.667,3.176,77.333,3.058,76,3.367,70,21.737,77,3.616,76.667,3.404,77.333,3.701,70.333,23.565,76.333,4.083,77,3.862,77.333,4.071
ec555,63,11.212,71,2.111,69,2.205,70,2.465,62.667,12.062,71.333,2.822,69.333,2.665,70,2.937,60.667,19.37,68.667,3.184,68.667,3.055,69,3.217,61,26.711,69,3.597,70.667,3.557,68,3.631
ecos-icse11,67.667,14.699,75.333,2.231,74.667,2.245,75,2.537,67,18.959,73,2.725,74,2.687,72,2.908,67,15.357,72.333,3.453,72.667,3.213,73.333,3.365,66,15.444,72,3.706,73,3.579,73.333,3.739
edb7xxx,67.667,18.768,72,2.542,74,2.374,75.333,2.51,66.333,13.002,75.667,2.679,75.333,2.77,72,3,66.667,19.414,71.333,3.302,71,3.186,73.333,3.405,66,23.455,72.333,3.785,73.333,3.669,71,3.77
edosk2674,64,14.466,71.667,2.196,73.333,2.142,72,2.4,64.667,12.491,73.667,2.476,70.667,2.481,74,2.79,66.333,21.743,73.333,2.896,72.333,2.936,72.333,3.024,64.667,17.79,73,3.553,74,3.456,72,3.513
excalibur_arm9,79,29.212,84.667,2.988,87,3.071,84.333,3.424,78.333,22.629,84.667,3.455,86.667,3.367,85.667,3.711,75.667,22.884,87.333,3.98,87.333,3.727,87,4.155,77.333,22.244,85,4.24,86,4.246,86,4.704
fads,61,11.106,67.667,1.927,69,1.805,69.667,2.074,59.333,13.939,67.667,2.407,67.333,2.287,67.667,2.553,62.333,13.996,69.333,2.657,69,2.603,68.333,2.781,62,13.283,68,3.227,69.667,3.052,68,3.261
flexanet,67.333,19.23,73.667,2.52,76.333,2.41,75,2.586,67.333,21.374,76.333,2.841,75,2.948,75.333,3.14,68,27.453,74,3.505,73.667,3.355,73.667,3.546,68,21.57,75.333,3.921,74.667,3.842,74.667,3.929
freebsd-icse11,73.667,38.655,90.667,7.19,90,7.049,89,7.284,75.667,38.521,91,9.204,86.333,9.061,88.333,9.25,73.667,49.386,88.333,11.358,89,11.039,86.667,11.192,73.333,41.076,89.667,13.659,87.333,13.031,88.667,13.098
frv400,64.333,26.759,73,2.536,75.333,2.374,74.667,2.474,66.667,14.455,72.333,2.857,73,2.743,72,2.967,67.333,15.975,73,3.417,74,3.267,72.667,3.491,63.667,26.711,74,3.769,70.333,3.65,71.333,3.917
gps4020,62.333,13.601,69.667,2.192,69.333,1.987,69.667,2.225,61.333,21.659,70,2.518,69.333,2.404,70,2.624,61.667,17.547,68,3.017,70,2.825,68,2.924,61,17.807,70.667,3.287,67.333,3.269,69.333,3.352
grg,64.667,12.966,72.667,2.233,75,2.267,71.333,2.459,64.333,18.747,72.667,2.68,73.667,2.739,72,2.856,64,17.228,73.333,3.156,72.667,3.072,72.333,3.321,64.333,21.766,70,3.683,72,3.581,72,3.754
h8300h_sim,62.667,13.133,67.667,2.029,69.667,1.801,68.333,2.029,60.667,15.851,68,2.274,69.333,2.235,68.667,2.34,61.333,13.248,68.333,2.575,66.667,2.597,67.333,2.773,61,10.781,68,3.17,67,2.945,66.667,3.03
h8max,66.333,14.833,73,2.076,73.667,2.071,73,2.347,65.333,18.688,71.667,2.512,72.333,2.581,72.333,2.663,65.333,21.597,71.333,2.965,72.667,2.969,73.667,3.112,65,15.99,75,3.548,72.667,3.369,72,3.464
h8s_sim,61,17.28,68.333,1.869,69.333,1.839,68,2.103,61.667,20.33,68,2.359,67.667,2.18,69.333,2.425,61.333,13.005,68.333,2.682,69.333,2.633,68,2.775,59.333,17.394,69,2.985,66.667,2.939,65.667,3.068
hs7729pci,84.333,37.318,92.333,3.562,95,3.71,95.667,4.116,84.667,31.875,92.667,4.059,92.667,4.107,94.667,4.558,85,21.552,93.667,4.932,94.333,4.73,91.667,5.038,87,22.25,94,5.215,93.667,5.266,94,5.544
innovator,85,20.456,96,3.542,95.333,3.768,96.667,4.145,84.667,27.191,93,4.051,95.667,4.113,93,4.638,88,24.174,92.667,4.665,92.667,4.712,93.333,5.125,87,26.674,90,5.22,93,5.298,95.333,5.547
integrator_arm7,63.667,21.026,71.667,2.554,75.667,2.54,76.333,2.648,67.333,23.16,72.667,2.771,72.667,2.891,73.667,3.043,65.333,24.585,74,3.562,74.333,3.242,74.333,3.501,66.667,21.422,74.667,3.773,73,3.733,73.667,3.968
integrator_arm9,80.333,23.351,85.667,2.99,88.667,3.084,84.667,3.499,81,30.429,86.667,3.59,87.667,3.574,85,3.774,80.333,24.719,88,4.017,88.667,4.032,87,4.343,82,22.502,88,4.594,88.333,4.642,87.333,4.914
ipaq,63.333,18.702,68.667,2.131,70,2.055,70.667,2.318,60.667,15.522,70,2.832,71,2.43,69,2.639,63.667,14.084,69.667,2.996,70,2.883,70,3.065,62.667,14.462,69.667,3.443,69.333,3.332,71,3.534
iq80310,65.333,18.3,72.667,2.298,73.333,2.329,73.333,2.587,65.667,22.511,73.333,2.821,75.333,2.842,74.333,2.874,65.333,16.598,71.333,3.402,74,3.213,74.667,3.447,65.667,22.641,72,3.713,72.667,3.689,72,3.679
iq80321,64.667,19.551,73.667,2.243,73.333,2.257,74.667,2.592,65.667,16.474,72.667,2.834,73.667,2.676,71.667,3.033,66,16.688,70.333,3.365,74.667,3.174,76.333,3.352,66,18.421,74,3.671,75,3.749,71.667,3.782
ixdp425,66.667,20.745,72.333,2.156,75.667,2.355,73,2.502,65,20.149,72,2.744,73,2.769,74,2.852,64.667,24.431,73,3.176,73.667,3.136,73,3.41,64,16.35,73,3.724,73.333,3.655,72.667,3.808
jmr3904,62.667,14.575,69.333,1.958,72.333,2.004,69,2.162,63,14.909,66.333,2.556,70,2.419,68.667,2.596,62.667,15.379,69.333,2.786,69.667,2.77,68.333,2.85,60.333,19.601,69.333,3.294,68.667,3.107,67,3.235
jtst,63,17.014,71,2.029,70.667,1.982,69.333,2.192,61.333,15.59,68,2.606,70,2.435,70,2.696,62.667,20.818,69.667,2.97,69.333,2.863,68,3.085,63,14.653,69.333,3.371,70,3.399,69.667,3.54
linux,71,17.04,78,2.413,77.333,2.514,78,2.733,70.667,16.623,77.667,2.854,80,2.911,77,3.112,69,14.748,77,3.59,77,3.323,76.333,3.544,70.333,16.47,75.667,4.032,76,3.76,76,3.879
lpcmt,62,90.985,65,6.468,68.333,2.369,70,2.38,60.667,82.003,62,8.325,66.667,2.758,70.333,2.664,62.667,63.841,63.333,6.826,69,3.075,68,3.084,62,53.484,63.333,5.369,67.333,3.493,67.333,3.563
m5272c3,67,63.316,71,6.582,75,2.988,75,2.888,69,68.905,69,9.228,74,3.395,74.333,3.17,69.667,84.781,68.667,10.051,74.667,3.866,74.667,3.673,68.333,75.414,70.333,6.412,73,4.264,76.333,4.03
