,"λ = 100, η = 50",,"λ = 100, η = 100",,"λ = 100, η = 150",,"λ = 100, η = 200",,"λ = 150, η = 50",,"λ = 150, η = 100",,"λ = 150, η = 150",,"λ = 150, η = 200",,"λ = 200, η = 50",,"λ = 200, η = 100",,"λ = 200, η = 150",,"λ = 200, η = 200",,"λ = 250, η = 50",,"λ = 250, η = 100",,"λ = 250, η = 150",,"λ = 250, η = 200",
Instance,avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s)
skmb91302,61.333,58.579,62.333,6.174,71,2.142,69,2.268,62.333,90.954,64.333,7.163,68.333,2.641,71,2.825,61.333,65.089,62.333,8.685,68,3.004,67,3.034,63,47.594,63,6.021,70.333,3.579,68,3.409
sleb,59.667,50.094,62,6.48,68.333,2.101,66,2.076,58.667,100.044,61,6.177,66.667,2.356,66,2.402,61.333,48.97,63,6.811,67.333,2.913,66.333,2.88,60.333,50.762,60.333,6.013,68.333,3.03,66,3.145
smdk2410,79.667,89.689,80.667,10.944,86.333,3.69,85.333,3.508,81.333,65.068,80,10.433,86,3.916,85.667,3.893,77,67.788,80.667,10.62,84.333,4.478,89.333,4.476,78.333,72.931,79,9.86,86.333,4.804,86,5.08
snds,65.667,37.78,66.667,9.275,72.333,2.306,70.667,2.327,64.333,95.568,67.333,6.123,69.333,3.078,72,2.729,65.667,66.525,65.667,9.089,73,3.155,71.333,3.09,64.667,62.644,66.667,7.758,71.333,3.487,72.333,3.587
sparc_erc32,60.333,14.497,67.333,1.899,68.667,1.826,68.333,2.046,61,16.027,66.667,2.467,70.333,2.229,67.333,2.411,61.333,15.134,69,2.545,67.667,2.532,66.667,2.744,60,17.422,69.667,3.129,69,3.059,68.667,3.05
sparc_leon,58.667,16.567,65,2.105,68.667,1.824,68.667,2.156,60.333,12.457,68.667,2.342,70,2.245,67.333,2.355,62.333,13.485,66.333,2.773,67,2.515,65.667,2.719,59.333,13.195,66.667,3.058,70,2.983,68,3.039
sparclite_sim,59.667,11.721,68.333,1.937,67,1.755,69,1.973,61,14.088,67.667,2.31,68.667,2.224,67.667,2.317,58.667,14.342,68.333,2.622,68.333,2.606,66.667,2.659,60,15.011,67.667,2.947,68.333,2.938,66.333,3.03
stb,63,14.888,70.333,2.258,71.333,2.155,70.333,2.445,62.333,16.231,68.667,2.843,70.667,2.635,70,2.831,60.333,19.963,70.667,3.293,71,3.087,69,3.267,61.667,21.429,69,3.737,70,3.645,70,3.73
stdeval1,63.333,24.653,68.333,2.148,70.333,1.985,70.333,2.282,63,15.852,69.333,2.476,68.667,2.405,68.667,2.582,62,13.906,68.333,3.216,70,2.822,68.667,2.947,63.667,14.534,69.667,3.208,71,3.24,69,3.242
stm3210e_eval,63,16.565,70,1.88,70,1.917,68.333,2.235,60.333,18.837,69,2.744,69.667,2.481,70,2.709,61.667,17.87,69,3.107,68.667,2.837,67,3.01,61,12.906,68.667,3.474,68,3.322,68.333,3.523
toybox,12,0.034,12.333,0.034,12,0.033,12.333,0.034,11.667,0.037,12.667,0.037,12.333,0.037,12.667,0.036,12.333,0.061,12.333,0.04,12.333,0.041,12.333,0.043,12,0.046,11.667,0.044,12.333,0.043,12.667,0.044
ts1000,65,25.563,72.667,2.714,73.333,2.373,72,2.728,67.667,17.763,73,2.827,73.333,2.891,73.667,3.101,65,18.848,73,3.427,75.667,3.325,72,3.551,66.667,18.131,71,3.975,73,3.834,73.667,3.973
ts6,65.667,16.463,72.333,2.354,74,2.369,73.667,2.525,64,17.156,73.333,2.811,72.667,2.734,73,2.861,66.333,22.371,74.667,3.333,75,3.227,72.333,3.43,67.333,16.359,74.333,3.744,75.333,3.69,74.333,3.827
tx39_sim,59,18.63,66.667,2.342,68.667,1.881,68.667,2.126,61.333,18.133,69.667,2.288,67.667,2.275,67.667,2.361,60,12.417,68.333,2.794,66.333,2.6,67.333,2.72,61.667,15.714,66,3.396,69.667,2.989,66.667,3.101
uClinux-config,43.667,38.853,51.667,34.01,50.667,32.819,49.333,32.736,43,51.315,51,44.538,48.667,42.401,48.667,42.024,44.333,60.079,49,53.374,50,51.979,47.667,50.188,43.667,68.724,51,62.8,48.667,60.957,48,59.505
uE250,64.667,20.159,71.667,2.341,72,2.23,73.333,2.541,66.333,13.349,74,2.663,72.667,2.713,73,2.931,64.333,15.207,71.333,3.239,72,3.116,72,3.274,64.667,20.214,73,3.593,73.667,3.641,73,3.796
vads,64.667,19.641,73.333,2.522,73.333,2.37,73.333,2.52,66,20.166,72.667,3.077,72.667,2.722,73,2.902,66,16.228,74,3.302,74.667,3.296,72.667,3.347,66.333,16.663,73.667,3.641,73.333,3.604,73.667,3.787
viper,65.667,18.536,73.333,2.601,75.667,2.383,73.333,2.69,64.667,16.729,74.667,2.852,74.333,2.958,73,3.099,65.667,24.537,75,3.513,72.667,3.347,72,3.597,68.667,25.536,73.333,3.878,73.333,3.916,71,3.936
vrc4373,61.333,15.855,68,2.408,72.333,2.206,69.667,2.44,61,18.064,70,2.732,69.667,2.632,69.333,2.827,60.667,20.18,69.333,3.202,70.667,3.085,70.333,3.344,62,18.887,69,3.819,69.667,3.568,70,3.744
vrc4375,68,20.122,74.667,2.68,75.333,2.534,74.333,2.656,66,19.203,72.667,2.915,74,2.872,72.333,3.166,68.333,20.393,71.667,3.535,73,3.382,72.667,3.554,64.667,18.742,75.667,4.083,73.333,3.831,73,4.117
XSEngine,65.333,109.391,66,9.871,72.333,2.497,75,2.631,63.333,98.89,68,7.374,72.333,3.004,71.333,2.957,65.667,58.738,66.333,7.93,71.333,3.56,71.667,3.488,66,98.257,67.667,7.889,71.667,3.92,72.333,3.947
