 ,λ = 100 η = 100,, λ = 100 η = 150,, λ = 100 η = 200,, λ = 100 η = 250,, λ = 150 η = 100,, λ = 150 η = 150,, λ = 150 η = 200,, λ = 150 η = 250,, λ = 200 η = 100,, λ = 200 η = 150,, λ = 200 η = 200,, λ = 200 η = 250,, λ = 250 η = 100,, λ = 250 η = 150,, λ = 250 η = 200,, λ = 250 η = 250,
Instances,avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s)
m5272c3,66.6,14.4,68,5.01,69,2.27,73.2,1.2,67,13.09,68,4.04,69.2,1.94,72,1.64,68.4,13.6,66.6,5.59,69.4,2.64,72.4,2.37,67.4,12.45,68.2,5.15,69.8,2.92,71.6,2.59
mac7100evb,60.4,11.28,61.4,2.89,62.4,1.38,65.2,1.03,60.8,10.04,60.8,3.58,62.2,1.72,65,1.47,61,11.37,61.2,4.73,62.8,2.27,64.4,2.12,60,10.24,60.2,5.44,62.6,2.28,65,2
mace1,60.6,12.7,61.2,3.38,62.4,1.55,66.6,1.03,60.4,11.07,60,4.63,63.6,1.77,65,1.44,60.8,11.13,60.4,4.21,62.4,2.4,65,1.78,60.8,11.97,60.2,3.83,63,2.86,65.2,1.99
malta_mips32_4kc,66.2,12.63,64.4,3.39,68.2,1.6,70.4,1.16,65.8,9.77,65.2,4.78,67,2.06,69.6,1.57,66,14.27,64.4,4.69,68,2.41,70.6,1.96,64.6,14,65.2,4.35,67,2.85,70.8,2.17
malta_mips64_5kc,65.6,13.33,64.8,5.33,68,1.69,70.4,1.13,66.4,12.28,65.2,3.23,67.2,1.65,69.8,1.58,65.4,12.36,64.6,6.33,66.2,2.96,70.4,2.32,64.8,15.47,66,4.85,69,2.51,68.8,2.51
mb93091,65.2,11.86,64.4,3.94,66,1.7,70.4,1.18,64.6,11.7,64,3.96,66.2,2.19,69.4,1.31,64.6,13.13,65.4,4.66,67,3.27,69.8,2.1,63.6,14.5,65,5.75,66.4,3.17,69.6,2.28
mb93093,64.2,10.55,65.2,3.76,67,1.79,68.4,1.2,65.6,11.27,65.4,4.79,67.2,2.21,69.4,1.6,64.6,13.74,64.8,4.96,66.2,2.72,68.8,2.04,64.2,13.62,64,5.85,66.6,2.89,69.2,2.21
mbx,65.4,13.2,65.2,4.82,66.8,1.64,69.2,1.01,65.4,12.85,64.2,6.58,67.6,1.71,69.6,1.66,65.8,13.43,64.6,5.49,65,2.99,69.4,2.08,64.4,14.46,64.8,5.38,67.2,2.51,68.6,2.62
mcb2100,60.6,10.11,60.4,3.76,62.6,1.45,66.6,1.09,60.8,11.78,61,3.55,63,1.68,66.8,1.5,61.2,12.4,60.8,5.44,62.8,2.5,65.6,1.84,60.6,13.48,60.8,4.19,63.6,2.31,65.8,2.32
moab,67,15.04,66.2,3.68,69.2,1.35,72.2,1.23,67.2,15.07,68.2,3.91,70.4,2.52,71.8,1.74,67.8,14.77,67.6,6.2,69.4,2.95,70.8,2.43,66.6,19.07,68.2,5.28,69.4,3.12,72.6,2.35
mpc50,60.2,9.55,61.4,4,63,1.52,65.2,1.02,61.2,11.37,60.2,4.96,63.8,1.62,65,1.41,60.4,11.14,60.4,3.57,62.4,2.25,64,1.81,59.8,11.16,60.6,4.39,63.2,2.54,65,2.2
